receipt_id,opened_at
3400,2023-01-03T12:57:42.000Z
3401,2023-01-03T14:20:22.000Z
3403,2023-01-04T15:54:54.000Z
3404,2023-01-04T16:28:26.000Z
3405,2023-01-04T21:36:39.000Z
3406,2023-01-05T08:22:49.000Z
3408,2023-01-05T15:31:18.000Z
3411,2023-01-05T22:02:00.000Z
3412,2023-01-06T01:49:13.000Z
3413,2023-01-06T12:38:46.000Z
3414,2023-01-09T16:45:00.000Z
3415,2023-01-10T02:57:32.000Z
3418,2023-01-11T07:18:16.000Z
3421,2023-01-12T01:50:49.000Z
3536,2023-01-12T13:33:39.000Z
3538,2023-01-12T15:59:21.000Z
3540,2023-01-12T20:24:39.000Z
3542,2023-01-13T09:53:53.000Z
3543,2023-01-14T00:49:10.000Z
3544,2023-01-14T13:43:31.000Z
3545,2023-01-15T16:19:19.000Z
3548,2023-01-16T20:45:36.000Z
3550,2023-01-17T17:01:36.000Z
3551,2023-01-17T18:15:21.000Z
3552,2023-01-18T09:09:41.000Z
3554,2023-01-19T10:49:28.000Z
3555,2023-01-19T17:01:03.000Z
3557,2023-01-20T12:16:45.000Z
3558,2023-01-20T14:03:07.000Z
3559,2023-01-20T19:01:34.000Z
3562,2023-01-21T08:39:07.000Z
3564,2023-01-21T16:56:06.000Z
3565,2023-01-22T03:05:03.000Z
3569,2023-01-23T19:50:03.000Z
3611,2023-01-24T18:07:31.000Z
3612,2023-01-26T12:54:43.000Z
3613,2023-01-26T19:37:59.000Z
3614,2023-01-26T21:50:06.000Z
3615,2023-01-27T10:47:34.000Z
3616,2023-01-28T02:50:13.000Z
3617,2023-01-28T15:46:46.000Z
3618,2023-01-28T21:42:10.000Z
3619,2023-01-29T03:57:34.000Z
3620,2023-01-29T20:22:58.000Z
3621,2023-01-30T08:47:07.000Z
3623,2023-01-30T20:42:48.000Z
3624,2023-01-31T00:54:19.000Z
3625,2023-01-31T09:21:27.000Z
3626,2023-01-31T10:23:26.000Z
3627,2023-01-31T19:32:33.000Z
3629,2023-02-01T03:39:44.000Z
3631,2023-02-01T10:22:51.000Z
3633,2023-02-01T11:09:16.000Z
3634,2023-02-02T15:55:38.000Z
3635,2023-02-02T17:29:56.000Z
3636,2023-02-02T21:57:34.000Z
3637,2023-02-03T00:38:53.000Z
3638,2023-02-04T06:40:45.000Z
3639,2023-02-04T13:45:16.000Z
3673,2023-02-05T01:02:55.000Z
3674,2023-02-05T08:20:40.000Z
3675,2023-02-05T17:51:17.000Z
3676,2023-02-05T18:36:44.000Z
3678,2023-02-06T15:45:07.000Z
3680,2023-02-06T19:15:44.000Z
3681,2023-02-06T23:52:00.000Z
4194,2023-02-07T15:38:34.000Z
4195,2023-02-07T16:29:47.000Z
4193,2023-02-08T00:41:43.000Z
4197,2023-02-08T11:51:19.000Z
4199,2023-02-08T18:47:13.000Z
4200,2023-02-09T05:52:07.000Z
4201,2023-02-09T07:43:40.000Z
4202,2023-02-09T10:07:47.000Z
4203,2023-02-09T19:23:12.000Z
4204,2023-02-09T20:18:41.000Z
4205,2023-02-09T22:01:43.000Z
4206,2023-02-09T23:53:17.000Z
4209,2023-02-11T00:30:04.000Z
4210,2023-02-11T21:36:35.000Z
4211,2023-02-12T01:36:20.000Z
4212,2023-02-12T03:58:09.000Z
4214,2023-02-14T19:03:19.000Z
4215,2023-02-15T13:54:37.000Z
4217,2023-02-16T01:00:34.000Z
4218,2023-02-16T03:19:51.000Z
4220,2023-02-16T05:28:23.000Z
4222,2023-02-16T08:51:53.000Z
4223,2023-02-16T10:37:33.000Z
4225,2023-02-16T14:10:37.000Z
4226,2023-02-16T17:44:23.000Z
4229,2023-02-17T08:47:26.000Z
4234,2023-02-18T07:11:58.000Z
4236,2023-02-18T16:11:02.000Z
4238,2023-02-18T22:47:59.000Z
4240,2023-02-19T07:50:22.000Z
4241,2023-02-19T13:04:05.000Z
4243,2023-02-20T03:13:53.000Z
4246,2023-02-20T07:18:13.000Z
4247,2023-02-20T09:43:58.000Z
4249,2023-02-20T12:40:31.000Z
4250,2023-02-20T12:55:39.000Z
4251,2023-02-20T14:26:45.000Z
4252,2023-02-20T16:23:10.000Z
4255,2023-02-20T19:58:29.000Z
4256,2023-02-20T22:06:47.000Z
4258,2023-02-21T02:12:51.000Z
4263,2023-02-21T09:47:38.000Z
4265,2023-02-21T10:14:35.000Z
4268,2023-02-21T11:17:34.000Z
4787,2023-02-21T23:35:17.000Z
6846,2023-02-22T17:24:43.000Z
6935,2023-02-22T19:10:58.000Z
6936,2023-02-22T20:40:06.000Z
6938,2023-02-23T04:27:11.000Z
6939,2023-02-23T05:10:56.000Z
6941,2023-02-23T06:55:29.000Z
6942,2023-02-23T10:13:19.000Z
6943,2023-02-23T10:26:36.000Z
6945,2023-02-23T19:22:24.000Z
7256,2023-02-24T07:36:02.000Z
7257,2023-02-24T08:19:34.000Z
7258,2023-02-24T10:29:02.000Z
7259,2023-02-24T11:47:03.000Z
7261,2023-02-24T16:25:25.000Z
7263,2023-02-25T13:10:26.000Z
7264,2023-02-25T21:37:40.000Z
7267,2023-02-26T02:11:54.000Z
7268,2023-02-26T12:20:42.000Z
7271,2023-02-27T01:06:29.000Z
7273,2023-02-27T04:46:43.000Z
7274,2023-02-27T04:53:49.000Z
7275,2023-02-27T05:31:12.000Z
7277,2023-02-27T09:28:45.000Z
7279,2023-02-27T09:41:04.000Z
7280,2023-02-27T12:34:38.000Z
7282,2023-02-28T06:58:35.000Z
7283,2023-02-28T07:30:00.000Z
7285,2023-02-28T15:42:32.000Z
7287,2023-03-02T04:12:19.000Z
7288,2023-03-02T13:16:10.000Z
7290,2023-03-02T13:30:53.000Z
7293,2023-03-02T18:35:43.000Z
7295,2023-03-03T13:26:56.000Z
7296,2023-03-03T15:15:43.000Z
7297,2023-03-04T11:56:42.000Z
7298,2023-03-04T12:43:01.000Z
7305,2023-03-10T18:19:37.000Z
7310,2023-03-13T17:17:25.000Z
7311,2023-03-13T21:41:09.000Z
7312,2023-03-14T04:54:17.000Z
7313,2023-03-14T09:47:07.000Z
7314,2023-03-14T11:04:06.000Z
7315,2023-03-14T12:50:44.000Z
7386,2023-03-14T22:40:58.000Z
7387,2023-03-14T23:52:30.000Z
7388,2023-03-15T15:42:19.000Z
7389,2023-03-15T18:18:26.000Z
7390,2023-03-15T18:31:59.000Z
7392,2023-03-16T13:15:12.000Z
7393,2023-03-16T20:56:10.000Z
7398,2023-03-18T00:41:28.000Z
7399,2023-03-19T12:24:39.000Z
7401,2023-03-19T22:24:59.000Z
7402,2023-03-20T14:12:11.000Z
7405,2023-03-21T18:37:35.000Z
7407,2023-03-21T19:43:23.000Z
7408,2023-03-22T00:52:20.000Z
7412,2023-03-22T14:20:44.000Z
7415,2023-03-23T22:51:21.000Z
7416,2023-03-23T23:59:11.000Z
7418,2023-03-25T23:02:23.000Z
7420,2023-03-27T06:55:54.000Z
7422,2023-03-27T07:10:17.000Z
7424,2023-03-27T08:40:05.000Z
7425,2023-03-27T09:22:31.000Z
7428,2023-03-28T11:03:52.000Z
7429,2023-03-28T18:21:45.000Z
7430,2023-03-29T01:53:00.000Z
7431,2023-03-29T10:26:58.000Z
7432,2023-03-29T13:37:32.000Z
7433,2023-03-29T14:33:24.000Z
7436,2023-03-30T12:18:48.000Z
7437,2023-03-30T14:49:55.000Z
7438,2023-03-30T15:19:07.000Z
7439,2023-03-30T15:24:56.000Z
7441,2023-03-30T16:47:00.000Z
7445,2023-03-30T18:56:24.000Z
7446,2023-03-30T19:30:38.000Z
7448,2023-03-30T20:20:07.000Z
7449,2023-03-30T20:49:16.000Z
7450,2023-03-30T20:57:03.000Z
7451,2023-03-30T21:50:34.000Z
7453,2023-03-31T09:32:35.000Z
7454,2023-03-31T09:43:30.000Z
7456,2023-03-31T12:39:49.000Z
7464,2023-03-31T22:35:02.000Z
